eip,title,status,type,author,created
1767,GraphQL interface to Ethereum node data,"Nick Johnson (@arachnid), Raúl Kripalani (@raulk), Kris Shinn (@kshinn)",https://ethereum-magicians.org/t/graphql-interface-to-ethereum-node-data/2710,Stagnant,Standards Track
,,,,,
1775,"App Keys, application specific wallet accounts","Vincent Eli (@Bunjin), Dan Finlay (@DanFinlay)",https://ethereum-magicians.org/t/eip-erc-app-keys-application-specific-wallet-accounts/2742,Stagnant,Standards Track
,,,,,
1803,Rename opcodes for clarity,Alex Beregszaszi (@axic),https://ethereum-magicians.org/t/eip-1803-rename-opcodes-for-clarity/3345,Standards Track,Interface
,,,,,
181,ENS support for reverse resolution of Ethereum addresses,Nick Johnson <arachnid@notdot.net>,Final,Standards Track,ERC
,,,,,
1812,Ethereum Verifiable Claims,Pelle Braendgaard (@pelle),https://ethereum-magicians.org/t/erc-1812-ethereum-verifiable-claims/2814,Stagnant,Standards Track
,,,,,
1820,Pseudo-introspection Registry Contract,"Jordi Baylina <jordi@baylina.cat>, Jacques Dafflon <mail@0xjac.com>",#1820,Final,Standards Track
,,,,,
1822,Universal Upgradeable Proxy Standard (UUPS),"Gabriel Barros <gabriel@terminal.co>, Patrick Gallagher <blockchainbuddha@gmail.com>",https://ethereum-magicians.org/t/eip-1822-universal-upgradeable-proxy-standard-uups,Stagnant,Standards Track
,,,,,
1829,Precompile for Elliptic Curve Linear Combinations,Remco Bloemen <Recmo@0x.org>,https://ethereum-magicians.org/t/ewasm-precompile-for-general-elliptic-curve-math/2581,Stagnant,Standards Track
,,,,,
1844,ENS Interface Discovery,Nick Johnson (@arachnid),https://ethereum-magicians.org/t/ens-interface-discovery/2924,Stagnant,Standards Track
,,,,,
1872,Ethereum Network Upgrade Windows,Danno Ferrin (@shemnon),https://ethereum-magicians.org/t/eip-1872-ethereum-network-upgrade-windows/2993,Stagnant,Meta
,,,,,
1884,Repricing for trie-size-dependent opcodes,Martin Holst Swende (@holiman),Standards Track,Core,https://ethereum-magicians.org/t/opcode-repricing/3024
,,,,,
1890,Commitment to Sustainable Ecosystem Funding,"Gregory Markou <greg@chainsafe.io>, Kevin Owocki <kevin@gitcoin.co>, Lane Rettig <lane@ethereum.org>",https://t.me/joinchat/DwEd_xahL5hHvzNYH2RnQA,Withdrawn,Standards Track
,,,,,
1895,Support for an Elliptic Curve Cycle,Alexandre Belling <alexandrebelling8@gmail.com>,https://ethresear.ch/t/reducing-the-verification-cost-of-a-snark-through-hierarchical-aggregation/5128,Stagnant,Standards Track
,,,,,
1898,Add `blockHash` to defaultBlock methods,Add `blockHash` option to JSON-RPC methods that currently support defaultBlock parameter.,Charles Cooper (@charles-cooper),https://ethereum-magicians.org/t/eip-1898-add-blockhash-option-to-json-rpc-methods-that-currently-support-defaultblock-parameter/11757,Review
,,,,,
190,Ethereum Smart Contract Packaging Standard,"Piper Merriam (@pipermerriam), Tim Coulter (@tcoulter), Denis Erfurt (@mhhf), RJ Catalano (@VoR0220), Iuri Matias (@iurimatias)",Final,Standards Track,ERC
,,,,,
1900,dType - Decentralized Type System for EVM,"Loredana Cirstea (@loredanacirstea), Christian Tzurcanu (@ctzurcanu)",#1882,Stagnant,Standards Track
,,,,,
1901,Add OpenRPC Service Discovery To JSON-RPC Services,"Shane Jonas (@shanejonas), Zachary Belford (@belfordz)",#1902,Stagnant,Standards Track
,,,,,
191,Signed Data Standard,"Martin Holst Swende (@holiman), Nick Johnson <arachnid@notdot.net>",#191,Final,Standards Track
,,,,,
1921,dType Functions Extension,"Loredana Cirstea (@loredanacirstea), Christian Tzurcanu (@ctzurcanu)",#1921,Stagnant,Standards Track
,,,,,
1922,zk-SNARK Verifier Standard,"Michael Connor <michael.connor@uk.ey.com>, Chaitanya Konda <chaitanya.konda@uk.ey.com>, Duncan Westland <duncan.westland@uk.ey.com>",#1922,Standards Track,ERC
,,,,,
1923,zk-SNARK Verifier Registry Standard,"Michael Connor <michael.connor@uk.ey.com>, Chaitanya Konda <chaitanya.konda@uk.ey.com>, Duncan Westland <duncan.westland@uk.ey.com>",#1923,Standards Track,ERC
,,,,,
1930,CALLs with strict gas semantic. Revert if not enough gas available.,Ronan Sandford (@wighawag),Standards Track,#1930,Core
,,,,,
1948,Non-fungible Data Token,"Johann Barbie (@johannbarbie), Ben Bollen <ben@ost.com>, pinkiebell (@pinkiebell)",https://ethereum-magicians.org/t/erc-non-fungible-data-token/3139,Stagnant,Standards Track
,,,,,
1959,New Opcode to check if a chainID is part of the history of chainIDs,Ronan Sandford (@wighawag),Core,Standards Track,https://ethereum-magicians.org/t/eip-1959-valid-chainid-opcode/3170
,,,,,
196,Precompiled contracts for addition and scalar multiplication on the elliptic curve alt_bn128,Christian Reitwiessner <chris@ethereum.org>,Standards Track,Core,Final
,,,,,
1962,EC arithmetic and pairings with runtime definitions,Alex Vlasov (@shamatar),https://ethereum-magicians.org/t/generalised-precompile-for-elliptic-curve-arithmetics-and-pairings-working-group/3208/2,Standards Track,Core
,,,,,
1965,Method to check if a chainID is valid at a specific block Number,Ronan Sandford (@wighawag),Core,Standards Track,https://ethereum-magicians.org/t/eip-1965-valid-chainid-for-specific-blocknumber-protect-all-forks/3181
,,,,,
1967,Proxy Storage Slots,"A consistent location where proxies store the address of the logic contract they delegate to, as well as other proxy-specific information.","Santiago Palladino (@spalladino), Francisco Giordano (@frangio), Hadrien Croubois (@Amxx)",https://ethereum-magicians.org/t/eip-1967-standard-proxy-storage-slots/3185,Final
,,,,,
197,Precompiled contracts for optimal ate pairing check on the elliptic curve alt_bn128,"Vitalik Buterin <vitalik@ethereum.org>, Christian Reitwiessner <chris@ethereum.org>",Standards Track,Core,Final
,,,,,
1973,Scalable Rewards,"Lee Raj (@lerajk), Qin Jian (@qinjian)",Standards Track,ERC,Stagnant
,,,,,
198,Big integer modular exponentiation,Vitalik Buterin (@vbuterin),Final,Standards Track,Core
,,,,,
1985,Sane limits for certain EVM parameters,"Alex Beregszaszi (@axic), Paweł Bylica (@chfast)",https://ethereum-magicians.org/t/eip-1985-sane-limits-for-certain-evm-parameters/3224,Stagnant,Standards Track
,,,,,
1996,Holdable Token,"Julio Faura <julio@adhara.io>, Fernando Paris <fer@io.builders>, Daniel Lehrner <daniel@io.builders>",#2103,Stagnant,Standards Track
,,,,,
2,Homestead Hard-fork Changes,Vitalik Buterin (@vbuterin),Final,Standards Track,Core
,,,,,
20,Token Standard,"Fabian Vogelsteller <fabian@ethereum.org>, Vitalik Buterin <vitalik.buterin@ethereum.org>",Standards Track,ERC,Final
,,,,,
2003,EVMC modules for implementations of precompiled contracts,"Paweł Bylica (@chfast), Alex Beregszaszi (@axic)",ethereum/evmc#259,Stagnant,Standards Track
,,,,,
2009,Compliance Service,Daniel Lehrner <daniel@io.builders>,#2022,Stagnant,Standards Track
,,,,,
2014,Extended State Oracle,Alex Beregszaszi (@axic),https://ethereum-magicians.org/t/eip-2014-extended-state-oracle/3301,Stagnant,Standards Track
,,,,,
